"Property Address","Mailing City","Mailing State","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"22 GLENBROOK ROAD",STAMFORD,CT,41.056072,-73.529571,1,rooftop,"22 Glenbrook Rd",,"Stamford, CT 06902",22,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve75as6yem6zz38,building_centroid
"0 BEDFORD STREET",STAMFORD,CT,41.060089,-73.537426,1,street_center,"Bedford St",,"Stamford, CT 06901",,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"TIGER/Line® dataset from the US Census Bureau",gcod_uss93nhags26h7xb,
"123 HARBOR DRIVE",STAMFORD,CT,41.036665,-73.531389,1,rooftop,"123 Harbor Dr",,"Stamford, CT 06902",123,"Harbor Dr",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnf6peeepruj8ubtau32k7c7k5r6,building_centroid
"20 DUBOIS STREET",STAMFORD,CT,41.077743,-73.549009,1,rooftop,"20 Dubois St",,"Stamford, CT 06905",20,"Dubois St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usndesgj3ewg5gk9m76q6b5752aa6,building_centroid
"104 NORTH STREET #PARKG24",STAMFORD,CT,41.059103,-73.542324,1,rooftop,"104 North St",,"Stamford, CT 06902",104,"North St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbsvcnnmtgsabg7tmjp4hf7h7p9,building_centroid
"104 NORTH STREET #PARKG25",STAMFORD,CT,41.059103,-73.542324,1,rooftop,"104 North St",,"Stamford, CT 06902",104,"North St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbsvcnnmtgsabg7tmjp4hf7h7p9,building_centroid
"104 NORTH STREET #PARKG27",STAMFORD,CT,41.059103,-73.542324,1,rooftop,"104 North St",,"Stamford, CT 06902",104,"North St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbsvcnnmtgsabg7tmjp4hf7h7p9,building_centroid
"104 NORTH STREET #PARKG28",STAMFORD,CT,41.059103,-73.542324,1,rooftop,"104 North St",,"Stamford, CT 06902",104,"North St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbsvcnnmtgsabg7tmjp4hf7h7p9,building_centroid
"104 NORTH STREET #PARKG29",STAMFORD,CT,41.059103,-73.542324,1,rooftop,"104 North St",,"Stamford, CT 06902",104,"North St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbsvcnnmtgsabg7tmjp4hf7h7p9,building_centroid
"104 NORTH STREET #PARKG30",STAMFORD,CT,41.059103,-73.542324,1,rooftop,"104 North St",,"Stamford, CT 06902",104,"North St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbsvcnnmtgsabg7tmjp4hf7h7p9,building_centroid
"104 NORTH STREET #PARKG43",STAMFORD,CT,41.059103,-73.542324,1,rooftop,"104 North St",,"Stamford, CT 06902",104,"North St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbsvcnnmtgsabg7tmjp4hf7h7p9,building_centroid
"14 ANN STREET",STAMFORD,CT,41.04943,-73.548416,1,rooftop,"14 Ann St",,"Stamford, CT 06902",14,"Ann St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usngtg3ua5kjc4u6pq7r5dfvwsfd7,building_centroid
"20 CERRETTA STREET",STAMFORD,CT,41.096408,-73.515059,1,rooftop,"20 Cerretta St",,"Stamford, CT 06907",20,"Cerretta St",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnrplj8mp5bmp44pgjj7gkvtbuqh,building_centroid
"511 WEST MAIN STREET ",STAMFORD,CT,41.048689,-73.559442,1,rooftop,"511 W Main St",,"Stamford, CT 06902",511,"W Main St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn5df9j4bcp8gq6pus5luwu5wvy9,building_centroid
"511 WEST MAIN STREET",STAMFORD,CT,41.048689,-73.559442,1,rooftop,"511 W Main St",,"Stamford, CT 06902",511,"W Main St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn5df9j4bcp8gq6pus5luwu5wvy9,building_centroid
"511 WEST MAIN STREET",STAMFORD,CT,41.048689,-73.559442,1,rooftop,"511 W Main St",,"Stamford, CT 06902",511,"W Main St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn5df9j4bcp8gq6pus5luwu5wvy9,building_centroid
"511 WEST MAIN STREET",STAMFORD,CT,41.048689,-73.559442,1,rooftop,"511 W Main St",,"Stamford, CT 06902",511,"W Main St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn5df9j4bcp8gq6pus5luwu5wvy9,building_centroid
"511 WEST MAIN STREET",STAMFORD,CT,41.048689,-73.559442,1,rooftop,"511 W Main St",,"Stamford, CT 06902",511,"W Main St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn5df9j4bcp8gq6pus5luwu5wvy9,building_centroid
